snapshot_date,protocol,split_id,subset_id,subset_method,subset_K,frontend,model_family,run_id,matrix_csv,greedy_cer,greedy_wer,greedy_rtf,greedy_chunk_latency_ms,greedy_end_to_end_latency_ms,greedy_first_output_latency_ms,greedy_streaming_ready,param_count,lex_train_cer,lex_train_wer,lex_all_cer,lex_all_wer
2026-02-17,P1,seed3,topk_k32,topk,32,rowcol,rowcol_uni_gru,P1_seed3_raw_ds1_sub-topk_k32_rowcol_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ed20260217,/mnt/share_gpu/naokkimu/epg_speller_for_icassp_camera_ready/sweeps/ed20260217/matrices/ed_p1_rowcol_compare.csv,0.14383561643835616,0.57,0.002579230236309641,0.12004291401028855,286.13779419334605,280.0,True,10255003,0.4332191780821918,1.0,0.0702054794520548,0.16
2026-02-17,P1,seed0,topk_k64,topk,64,rowcol,rowcol_uni_gru,P1_seed0_raw_ds1_sub-topk_k64_rowcol_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ed20260217,/mnt/share_gpu/naokkimu/epg_speller_for_icassp_camera_ready/sweeps/ed20260217/matrices/ed_p1_rowcol_compare.csv,0.1109375,0.53,0.001890743715856118,0.08712922927865895,284.80343441013247,280.0,True,10255067,0.3875,1.0,0.0578125,0.15
2026-02-17,P1,seed1,topk_k64,topk,64,rowcol,rowcol_uni_gru,P1_seed1_raw_ds1_sub-topk_k64_rowcol_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ed20260217,/mnt/share_gpu/naokkimu/epg_speller_for_icassp_camera_ready/sweeps/ed20260217/matrices/ed_p1_rowcol_compare.csv,0.14411764705882352,0.58,0.001993039665329361,0.09123989171644246,285.31563609139994,280.0,True,10255067,0.4294117647058823,1.0,0.03529411764705882,0.08
2026-02-17,P1,seed2,topk_k64,topk,64,rowcol,rowcol_uni_gru,P1_seed2_raw_ds1_sub-topk_k64_rowcol_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ed20260217,/mnt/share_gpu/naokkimu/epg_speller_for_icassp_camera_ready/sweeps/ed20260217/matrices/ed_p1_rowcol_compare.csv,0.1377551020408163,0.53,0.002263396625659852,0.10521024903628794,285.4330572602339,280.0,True,10255067,0.40476190476190477,1.0,0.05782312925170068,0.14
2026-02-17,P1,seed3,topk_k64,topk,64,rowcol,rowcol_uni_gru,P1_seed3_raw_ds1_sub-topk_k64_rowcol_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ed20260217,/mnt/share_gpu/naokkimu/epg_speller_for_icassp_camera_ready/sweeps/ed20260217/matrices/ed_p1_rowcol_compare.csv,0.11472602739726027,0.5,0.002141901205689931,0.09968868177548071,285.09708229918033,280.0,True,10255067,0.4075342465753425,1.0,0.06678082191780822,0.18
2026-02-17,P1,seed0,fps2k_k32,fps2k,32,vector,uni_gru,P1_seed0_raw_ds1_sub-fps2k_k32_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ed20260217,/mnt/share_gpu/naokkimu/epg_speller_for_icassp_camera_ready/sweeps/ed20260217/matrices/ed_p1_kcurve_deterministic.csv,0.13125,0.63,0.00048275767442273755,0.022246433373316974,281.22644587187096,280.0,False,10254939,0.3875,1.0,0.0640625,0.18
2026-02-17,P1,seed1,fps2k_k32,fps2k,32,vector,uni_gru,P1_seed1_raw_ds1_sub-fps2k_k32_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ed20260217,/mnt/share_gpu/naokkimu/epg_speller_for_icassp_camera_ready/sweeps/ed20260217/matrices/ed_p1_kcurve_deterministic.csv,0.15294117647058825,0.59,0.0005445216784241775,0.02492780241203439,281.4522937685251,280.0,False,10254939,0.4411764705882353,1.0,0.0661764705882353,0.14
2026-02-17,P1,seed2,fps2k_k32,fps2k,32,vector,uni_gru,P1_seed2_raw_ds1_sub-fps2k_k32_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ed20260217,/mnt/share_gpu/naokkimu/epg_speller_for_icassp_camera_ready/sweeps/ed20260217/matrices/ed_p1_kcurve_deterministic.csv,0.16156462585034015,0.62,0.0005145342222082329,0.023917272404892373,281.23508794698864,280.0,False,10254939,0.41836734693877553,1.0,0.06972789115646258,0.16
2026-02-17,P1,seed3,fps2k_k32,fps2k,32,vector,uni_gru,P1_seed3_raw_ds1_sub-fps2k_k32_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ed20260217,/mnt/share_gpu/naokkimu/epg_speller_for_icassp_camera_ready/sweeps/ed20260217/matrices/ed_p1_kcurve_deterministic.csv,0.13013698630136986,0.54,0.000512506673877623,0.0238531611935572,281.2196121318266,280.0,False,10254939,0.4160958904109589,1.0,0.0839041095890411,0.21
2026-02-17,P1,seed0,fps2k_k64,fps2k,64,vector,uni_gru,P1_seed0_raw_ds1_sub-fps2k_k64_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ed20260217,/mnt/share_gpu/naokkimu/epg_speller_for_icassp_camera_ready/sweeps/ed20260217/matrices/ed_p1_kcurve_deterministic.csv,0.1171875,0.54,0.0004694675262361219,0.021633996923687063,281.19268225040287,280.0,False,10252827,0.3953125,1.0,0.0421875,0.14
2026-02-17,P1,seed1,fps2k_k64,fps2k,64,vector,uni_gru,P1_seed1_raw_ds1_sub-fps2k_k64_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ed20260217,/mnt/share_gpu/naokkimu/epg_speller_for_icassp_camera_ready/sweeps/ed20260217/matrices/ed_p1_kcurve_deterministic.csv,0.12352941176470589,0.56,0.0006956059510047313,0.03184432941854992,281.8552506319247,280.0,False,10252827,0.42205882352941176,1.0,0.041176470588235294,0.09
