group,src_a,src_b,tgt,cer_p3ms_mean,cer_p3_single_mean,delta_cer,corr_srcA_tgt,corr_srcB_tgt,corr_src_tgt_mean,corr_src_src,overall_mean_contact_srcA,overall_mean_contact_srcB,overall_mean_contact_tgt,contact_ratio_srcA_over_tgt,contact_ratio_srcB_over_tgt,contact_ratio_mean
subj23to1,2,3,1,0.47351393629124006,0.6377784376981375,-0.1642645014068974,0.9239432498031722,0.9041069585749272,0.9140251041890497,0.964705293309759,0.2028681150241583,0.12211184356306658,0.18755505630678368,1.0816456725769477,0.6510719890341337,0.8663588308055407
subj13to2,1,3,2,0.5203356086461889,0.5945486233517864,-0.07421301470559749,0.9239432498031723,0.9647052933097591,0.9443242715564657,0.9041069585749273,0.18755505630678368,0.12211184356306658,0.2028681150241583,0.9245171735560757,0.6019272350833695,0.7632222043197225
subj12to3,1,2,3,0.8380617178612059,0.840301478953356,-0.002239761092150183,0.9041069585749273,0.964705293309759,0.9344061259423431,0.9239432498031723,0.18755505630678368,0.2028681150241583,0.12211184356306658,1.53592846389153,1.661330376356032,1.598629420123781
subj12to4,1,2,4,0.6546216101093284,0.7375230725543093,-0.08290146244498087,0.9407485966796634,0.9632205354268668,0.9519845660532651,0.9239432498031723,0.18755505630678368,0.2028681150241583,0.18549292158033673,1.0111170534642415,1.093670385348351,1.0523937194062962
subj13to4,1,3,4,0.5363241781699161,0.6249889222643211,-0.08866474409440506,0.9407485966796634,0.9529529411219078,0.9468507689007856,0.9041069585749273,0.18755505630678368,0.12211184356306658,0.18549292158033673,1.0111170534642415,0.6583099911452961,0.8347135223047688
subj23to4,2,3,4,0.5546819410843888,0.6965315887416745,-0.1418496476572857,0.9632205354268668,0.9529529411219078,0.9580867382743873,0.964705293309759,0.2028681150241583,0.12211184356306658,0.18549292158033673,1.093670385348351,0.6583099911452961,0.8759901882468235
