run_id,protocol,split_id,dataset_pickle,n_components,downsample_factor,electrode_regions,model_family,n_units,n_layers,stride_len,kernel_len,input_proj_dim,specaug_on,white_noise_sd,constant_offset_sd,gaussian_smooth_width,frame_ms,n_batch,train_seed,subset_id,subset_method,subset_K,subset_random_seed,note
P1_seed0_raw_ds1_sub-fps2k_k80_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ed20260217,P1,seed0,data/ed20260217/P1_seed0_raw_ds1_fps2k_k80.pkl,-1,1,all,uni_gru,512,5,4,32,64,1,0.8,0.2,2.0,10.0,10000,0,fps2k_k80,fps2k,80,,ed:kcurve
P1_seed0_raw_ds1_sub-topk_k88_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ed20260217,P1,seed0,data/ed20260217/P1_seed0_raw_ds1_topk_k88.pkl,-1,1,all,uni_gru,512,5,4,32,64,1,0.8,0.2,2.0,10.0,10000,0,topk_k88,topk,88,,ed:kcurve
P1_seed0_raw_ds1_sub-fps2k_k88_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ed20260217,P1,seed0,data/ed20260217/P1_seed0_raw_ds1_fps2k_k88.pkl,-1,1,all,uni_gru,512,5,4,32,64,1,0.8,0.2,2.0,10.0,10000,0,fps2k_k88,fps2k,88,,ed:kcurve
P1_seed0_raw_ds1_sub-topk_k96_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ed20260217,P1,seed0,data/ed20260217/P1_seed0_raw_ds1_topk_k96.pkl,-1,1,all,uni_gru,512,5,4,32,64,1,0.8,0.2,2.0,10.0,10000,0,topk_k96,topk,96,,ed:kcurve
P1_seed0_raw_ds1_sub-fps2k_k96_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ed20260217,P1,seed0,data/ed20260217/P1_seed0_raw_ds1_fps2k_k96.pkl,-1,1,all,uni_gru,512,5,4,32,64,1,0.8,0.2,2.0,10.0,10000,0,fps2k_k96,fps2k,96,,ed:kcurve
P1_seed0_raw_ds1_sub-topk_k104_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ed20260217,P1,seed0,data/ed20260217/P1_seed0_raw_ds1_topk_k104.pkl,-1,1,all,uni_gru,512,5,4,32,64,1,0.8,0.2,2.0,10.0,10000,0,topk_k104,topk,104,,ed:kcurve
P1_seed0_raw_ds1_sub-fps2k_k104_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ed20260217,P1,seed0,data/ed20260217/P1_seed0_raw_ds1_fps2k_k104.pkl,-1,1,all,uni_gru,512,5,4,32,64,1,0.8,0.2,2.0,10.0,10000,0,fps2k_k104,fps2k,104,,ed:kcurve
P1_seed0_raw_ds1_sub-topk_k112_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ed20260217,P1,seed0,data/ed20260217/P1_seed0_raw_ds1_topk_k112.pkl,-1,1,all,uni_gru,512,5,4,32,64,1,0.8,0.2,2.0,10.0,10000,0,topk_k112,topk,112,,ed:kcurve
P1_seed0_raw_ds1_sub-fps2k_k112_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ed20260217,P1,seed0,data/ed20260217/P1_seed0_raw_ds1_fps2k_k112.pkl,-1,1,all,uni_gru,512,5,4,32,64,1,0.8,0.2,2.0,10.0,10000,0,fps2k_k112,fps2k,112,,ed:kcurve
P1_seed0_raw_ds1_sub-topk_k120_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ed20260217,P1,seed0,data/ed20260217/P1_seed0_raw_ds1_topk_k120.pkl,-1,1,all,uni_gru,512,5,4,32,64,1,0.8,0.2,2.0,10.0,10000,0,topk_k120,topk,120,,ed:kcurve
P1_seed0_raw_ds1_sub-fps2k_k120_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ed20260217,P1,seed0,data/ed20260217/P1_seed0_raw_ds1_fps2k_k120.pkl,-1,1,all,uni_gru,512,5,4,32,64,1,0.8,0.2,2.0,10.0,10000,0,fps2k_k120,fps2k,120,,ed:kcurve
P1_seed0_raw_ds1_sub-front_topk_k32_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ed20260217,P1,seed0,data/ed20260217/P1_seed0_raw_ds1_front_topk_k32.pkl,-1,1,all,uni_gru,512,5,4,32,64,1,0.8,0.2,2.0,10.0,10000,0,front_topk_k32,front_topk,32,,ed:kcurve
P1_seed0_raw_ds1_sub-post_topk_k32_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ed20260217,P1,seed0,data/ed20260217/P1_seed0_raw_ds1_post_topk_k32.pkl,-1,1,all,uni_gru,512,5,4,32,64,1,0.8,0.2,2.0,10.0,10000,0,post_topk_k32,post_topk,32,,ed:kcurve
P1_seed0_raw_ds1_sub-front_topk_k64_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ed20260217,P1,seed0,data/ed20260217/P1_seed0_raw_ds1_front_topk_k64.pkl,-1,1,all,uni_gru,512,5,4,32,64,1,0.8,0.2,2.0,10.0,10000,0,front_topk_k64,front_topk,64,,ed:kcurve
P1_seed0_raw_ds1_sub-post_topk_k64_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ed20260217,P1,seed0,data/ed20260217/P1_seed0_raw_ds1_post_topk_k64.pkl,-1,1,all,uni_gru,512,5,4,32,64,1,0.8,0.2,2.0,10.0,10000,0,post_topk_k64,post_topk,64,,ed:kcurve
P1_seed0_raw_ds1_sub-prune_harmful_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ed20260217,P1,seed0,data/ed20260217/P1_seed0_raw_ds1_prune_harmful.pkl,-1,1,all,uni_gru,512,5,4,32,64,1,0.8,0.2,2.0,10.0,10000,0,prune_harmful,prune_harmful,105,,ed:kcurve
P1_seed1_raw_ds1_sub-topk_k16_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ed20260217,P1,seed1,data/ed20260217/P1_seed1_raw_ds1_topk_k16.pkl,-1,1,all,uni_gru,512,5,4,32,64,1,0.8,0.2,2.0,10.0,10000,0,topk_k16,topk,16,,ed:kcurve
P1_seed1_raw_ds1_sub-fps2k_k16_uni_gru_u512_l5_s4_k32_proj64_spec1_noiseDefault_trainseed0_ed20260217,P1,seed1,data/ed20260217/P1_seed1_raw_ds1_fps2k_k16.pkl,-1,1,all,uni_gru,512,5,4,32,64,1,0.8,0.2,2.0,10.0,10000,0,fps2k_k16,fps2k,16,,ed:kcurve
