snapshot_date,split_id,protocol,seed,subject,partition,ch,mean_contact,rank_mean_contact,dead_flag
2026-06-26,P2K_subj1_seed0_k1,P2K,0,subj1,competition,4,0.00615282,106,0
2026-06-26,P2K_subj1_seed0_k1,P2K,0,subj1,competition,40,0.00631912,105,0
2026-06-26,P2K_subj1_seed0_k1,P2K,0,subj1,competition,41,0.06551925,72,0
2026-06-26,P2K_subj1_seed0_k1,P2K,0,subj1,competition,42,0.21177351,48,0
2026-06-26,P2K_subj1_seed0_k1,P2K,0,subj1,competition,43,0.30082315,35,0
2026-06-26,P2K_subj1_seed0_k1,P2K,0,subj1,competition,44,0.00116405,117,0
2026-06-26,P2K_subj1_seed0_k1,P2K,0,subj1,competition,45,0.00349214,109,0
2026-06-26,P2K_subj1_seed0_k1,P2K,0,subj1,competition,46,0.01139104,99,0
2026-06-26,P2K_subj1_seed0_k1,P2K,0,subj1,competition,47,0.04481583,80,0
2026-06-26,P2K_subj1_seed0_k1,P2K,0,subj1,competition,48,0.00232810,112,0
2026-06-26,P2K_subj1_seed0_k1,P2K,0,subj1,competition,49,0.01288767,96,0
2026-06-26,P2K_subj1_seed0_k1,P2K,0,subj1,competition,5,0.01022699,100,0
2026-06-26,P2K_subj1_seed0_k1,P2K,0,subj1,competition,50,0.34929741,31,0
2026-06-26,P2K_subj1_seed0_k1,P2K,0,subj1,competition,51,0.06959341,71,0
2026-06-26,P2K_subj1_seed0_k1,P2K,0,subj1,competition,52,0.14209695,55,0
2026-06-26,P2K_subj1_seed0_k1,P2K,0,subj1,competition,53,0.26972645,40,0
2026-06-26,P2K_subj1_seed0_k1,P2K,0,subj1,competition,54,0.34963000,30,0
2026-06-26,P2K_subj1_seed0_k1,P2K,0,subj1,competition,55,0.43410659,21,0
2026-06-26,P2K_subj1_seed0_k1,P2K,0,subj1,competition,56,0.00000000,120,1
2026-06-26,P2K_subj1_seed0_k1,P2K,0,subj1,competition,57,0.30148832,34,0
2026-06-26,P2K_subj1_seed0_k1,P2K,0,subj1,competition,58,0.00000000,121,1
2026-06-26,P2K_subj1_seed0_k1,P2K,0,subj1,competition,59,0.28660514,37,0
2026-06-26,P2K_subj1_seed0_k1,P2K,0,subj1,competition,6,0.05113495,76,0
2026-06-26,P2K_subj1_seed0_k1,P2K,0,subj1,competition,60,0.40259416,24,0
2026-06-26,P2K_subj1_seed0_k1,P2K,0,subj1,competition,61,0.45514260,17,0
2026-06-26,P2K_subj1_seed0_k1,P2K,0,subj1,competition,62,0.44333583,20,0
2026-06-26,P2K_subj1_seed0_k1,P2K,0,subj1,competition,63,0.35295585,29,0
2026-06-26,P2K_subj1_seed0_k1,P2K,0,subj1,competition,64,0.00008315,119,0
2026-06-26,P2K_subj1_seed0_k1,P2K,0,subj1,competition,65,0.30589507,33,0
2026-06-26,P2K_subj1_seed0_k1,P2K,0,subj1,competition,66,0.43127962,22,0
2026-06-26,P2K_subj1_seed0_k1,P2K,0,subj1,competition,67,0.48050220,14,0
2026-06-26,P2K_subj1_seed0_k1,P2K,0,subj1,competition,68,0.55924171,0,0
2026-06-26,P2K_subj1_seed0_k1,P2K,0,subj1,competition,69,0.47443253,15,0
2026-06-26,P2K_subj1_seed0_k1,P2K,0,subj1,competition,7,0.03384053,86,0
2026-06-26,P2K_subj1_seed0_k1,P2K,0,subj1,competition,70,0.37665253,27,0
2026-06-26,P2K_subj1_seed0_k1,P2K,0,subj1,competition,71,0.26931072,41,0
2026-06-26,P2K_subj1_seed0_k1,P2K,0,subj1,competition,72,0.03625177,84,0
2026-06-26,P2K_subj1_seed0_k1,P2K,0,subj1,competition,73,0.23039827,45,0
