snapshot_date,split_id,protocol,seed,subject,partition,n_samples,n_unique_labels,T_min,T_median,T_mean,T_max,total_frames,overall_mean_contact,all_zero_samples,all_one_samples,dead_channels,label_occurrence_hist_json,smartpalate_mapped_channels,smartpalate_missing_channels_n,smartpalate_duplicate_channels_n
2026-06-26,P1_subj1_seed0_test100,P1,0,subj1,competition,100,50,148,247.000,255.650000,445,25565,0.19731551,0,0,3,"{""2"": 50}",120,4,5
2026-06-26,P1_subj1_seed0_test100,P1,0,subj1,test,200,100,134,245.000,251.440000,423,50288,0.18566316,0,0,4,"{""2"": 100}",120,4,5
2026-06-26,P1_subj1_seed0_test100,P1,0,subj1,train,2028,1014,113,233.000,244.032051,501,494897,0.18724310,0,0,3,"{""2"": 1014}",120,4,5
2026-06-26,P1_subj1_seed1_test100,P1,1,subj1,competition,100,50,138,231.000,244.730000,407,24473,0.18450122,0,0,3,"{""2"": 50}",120,4,5
2026-06-26,P1_subj1_seed1_test100,P1,1,subj1,test,200,100,140,238.000,255.815000,501,51163,0.18847226,0,0,3,"{""2"": 100}",120,4,5
2026-06-26,P1_subj1_seed1_test100,P1,1,subj1,train,2028,1014,113,234.000,244.139053,461,495114,0.18761122,0,0,3,"{""2"": 1014}",120,4,5
2026-06-26,P1_subj1_seed2_test100,P1,2,subj1,competition,100,50,147,238.000,258.960000,501,25896,0.19213018,0,0,3,"{""2"": 50}",120,4,5
2026-06-26,P1_subj1_seed2_test100,P1,2,subj1,test,200,100,138,233.000,248.580000,461,49716,0.19230828,0,0,3,"{""2"": 100}",120,4,5
2026-06-26,P1_subj1_seed2_test100,P1,2,subj1,train,2028,1014,113,234.000,244.150888,448,495138,0.18683851,0,0,3,"{""2"": 1014}",120,4,5
2026-06-26,P1_subj1_seed3_test100,P1,3,subj1,competition,100,50,155,246.000,256.070000,385,25607,0.18906089,0,0,3,"{""2"": 50}",120,4,5
2026-06-26,P1_subj1_seed3_test100,P1,3,subj1,test,200,100,134,223.500,237.690000,429,47538,0.18451130,0,0,3,"{""2"": 100}",120,4,5
2026-06-26,P1_subj1_seed3_test100,P1,3,subj1,train,2028,1014,113,235.000,245.367357,501,497605,0.18776835,0,0,3,"{""2"": 1014}",120,4,5
