snapshot_date,split_id,protocol,seed,subject,partition,ch,mean_contact,rank_mean_contact,dead_flag
2026-02-24,P1_seed0,P1,0,,competition,58,0.00000000,123,1
2026-02-24,P1_seed0,P1,0,,competition,59,0.30291414,36,0
2026-02-24,P1_seed0,P1,0,,competition,6,0.05339331,77,0
2026-02-24,P1_seed0,P1,0,,competition,60,0.41631136,25,0
2026-02-24,P1_seed0,P1,0,,competition,61,0.47025230,17,0
2026-02-24,P1_seed0,P1,0,,competition,62,0.45937806,20,0
2026-02-24,P1_seed0,P1,0,,competition,63,0.36577352,31,0
2026-02-24,P1_seed0,P1,0,,competition,64,0.00035204,120,0
2026-02-24,P1_seed0,P1,0,,competition,65,0.32524936,33,0
2026-02-24,P1_seed0,P1,0,,competition,66,0.44748680,21,0
2026-02-24,P1_seed0,P1,0,,competition,67,0.50166243,14,0
2026-02-24,P1_seed0,P1,0,,competition,68,0.57915118,0,0
2026-02-24,P1_seed0,P1,0,,competition,69,0.48898885,15,0
2026-02-24,P1_seed0,P1,0,,competition,7,0.03344416,86,0
2026-02-24,P1_seed0,P1,0,,competition,70,0.38670057,27,0
2026-02-24,P1_seed0,P1,0,,competition,71,0.27189517,41,0
2026-02-24,P1_seed0,P1,0,,competition,72,0.02002738,95,0
2026-02-24,P1_seed0,P1,0,,competition,73,0.24263642,47,0
2026-02-24,P1_seed0,P1,0,,competition,74,0.35102679,32,0
2026-02-24,P1_seed0,P1,0,,competition,75,0.47713671,16,0
2026-02-24,P1_seed0,P1,0,,competition,76,0.54218658,8,0
2026-02-24,P1_seed0,P1,0,,competition,77,0.53295521,11,0
2026-02-24,P1_seed0,P1,0,,competition,78,0.53811852,9,0
2026-02-24,P1_seed0,P1,0,,competition,79,0.51629181,13,0
2026-02-24,P1_seed0,P1,0,,competition,8,0.02734207,91,0
2026-02-24,P1_seed0,P1,0,,competition,80,0.43274007,23,0
2026-02-24,P1_seed0,P1,0,,competition,81,0.29063172,39,0
2026-02-24,P1_seed0,P1,0,,competition,82,0.15032271,56,0
2026-02-24,P1_seed0,P1,0,,competition,83,0.02796792,90,0
2026-02-24,P1_seed0,P1,0,,competition,84,0.00363779,110,0
2026-02-24,P1_seed0,P1,0,,competition,85,0.05221983,78,0
2026-02-24,P1_seed0,P1,0,,competition,86,0.14785840,57,0
2026-02-24,P1_seed0,P1,0,,competition,87,0.25890866,42,0
2026-02-24,P1_seed0,P1,0,,competition,88,0.38544886,28,0
2026-02-24,P1_seed0,P1,0,,competition,89,0.52337180,12,0
