snapshot_date,split_id,protocol,seed,subject,partition,n_samples,n_unique_labels,T_min,T_median,T_mean,T_max,total_frames,overall_mean_contact,all_zero_samples,all_one_samples,dead_channels,label_occurrence_hist_json,smartpalate_mapped_channels,smartpalate_missing_channels_n,smartpalate_duplicate_channels_n
2026-02-26,P3_subj3to4_seed2,P3,2,subj3to4,test,1159,1159,87,229.000,246.652286,600,285870,0.18552452,0,0,0,"{""1"": 1159}",120,4,5
2026-02-26,P3_subj3to4_seed2,P3,2,subj3to4,train,1109,1109,94,284.000,290.907124,532,322616,0.12198326,0,0,0,"{""1"": 1109}",120,4,5
2026-02-26,P3_subj3to4_seed3,P3,3,subj3to4,competition,50,50,88,283.000,293.260000,457,14663,0.12335470,0,0,2,"{""1"": 50}",120,4,5
2026-02-26,P3_subj3to4_seed3,P3,3,subj3to4,test,1159,1159,87,229.000,246.782571,600,286021,0.18558690,0,0,0,"{""1"": 1159}",120,4,5
2026-02-26,P3_subj3to4_seed3,P3,3,subj3to4,train,1109,1109,94,283.000,289.702435,524,321280,0.12164866,0,0,0,"{""1"": 1109}",120,4,5
2026-02-26,P3MS_subj12to4_seed0,P3MS,0,subj12to4,competition,100,50,130,195.500,221.860000,440,22186,0.18887201,0,0,1,"{""2"": 50}",120,4,5
2026-02-26,P3MS_subj12to4_seed0,P3MS,0,subj12to4,test,1162,1162,87,228.000,246.454389,600,286380,0.18554830,0,0,0,"{""1"": 1162}",120,4,5
2026-02-26,P3MS_subj12to4_seed0,P3MS,0,subj12to4,train,2224,1112,100,217.000,227.137590,440,505154,0.19505285,0,0,0,"{""2"": 1112}",120,4,5
2026-02-26,P3MS_subj12to4_seed1,P3MS,1,subj12to4,competition,100,50,127,216.500,228.270000,428,22827,0.19293543,0,0,3,"{""2"": 50}",120,4,5
2026-02-26,P3MS_subj12to4_seed1,P3MS,1,subj12to4,test,1162,1162,87,228.500,246.629088,600,286583,0.18555352,0,0,0,"{""1"": 1162}",120,4,5
2026-02-26,P3MS_subj12to4_seed1,P3MS,1,subj12to4,train,2224,1112,100,216.000,226.316547,461,503328,0.19493091,0,0,0,"{""2"": 1112}",120,4,5
2026-02-26,P3MS_subj12to4_seed2,P3MS,2,subj12to4,competition,100,50,119,197.000,214.150000,379,21415,0.19749121,0,0,1,"{""2"": 50}",120,4,5
2026-02-26,P3MS_subj12to4_seed2,P3MS,2,subj12to4,test,1162,1162,87,228.500,246.584337,600,286531,0.18561055,0,0,0,"{""1"": 1162}",120,4,5
2026-02-26,P3MS_subj12to4_seed2,P3MS,2,subj12to4,train,2224,1112,100,218.000,227.167266,461,505220,0.19414576,0,0,1,"{""2"": 1112}",120,4,5
2026-02-26,P3MS_subj12to4_seed3,P3MS,3,subj12to4,competition,100,50,137,246.500,244.590000,395,24459,0.20056474,0,0,1,"{""2"": 50}",120,4,5
2026-02-26,P3MS_subj12to4_seed3,P3MS,3,subj12to4,test,1162,1162,87,229.000,246.759036,600,286734,0.18561572,0,0,0,"{""1"": 1162}",120,4,5
2026-02-26,P3MS_subj12to4_seed3,P3MS,3,subj12to4,train,2224,1112,103,215.000,225.479766,501,501467,0.19397369,0,0,0,"{""2"": 1112}",120,4,5
2026-02-26,P3MS_subj13to4_seed0,P3MS,0,subj13to4,competition,100,50,95,261.500,269.710000,460,26971,0.15806284,0,0,1,"{""2"": 50}",120,4,5
2026-02-26,P3MS_subj13to4_seed0,P3MS,0,subj13to4,test,1159,1159,87,229.000,246.782571,600,286021,0.18558690,0,0,0,"{""1"": 1159}",120,4,5
2026-02-26,P3MS_subj13to4_seed0,P3MS,0,subj13to4,train,2218,1109,88,262.000,268.749324,511,596086,0.15206844,0,0,0,"{""2"": 1109}",120,4,5
2026-02-26,P3MS_subj13to4_seed1,P3MS,1,subj13to4,competition,100,50,142,260.000,263.560000,446,26356,0.15293451,0,0,0,"{""2"": 50}",120,4,5
2026-02-26,P3MS_subj13to4_seed1,P3MS,1,subj13to4,test,1159,1159,87,229.000,246.782571,600,286021,0.18558690,0,0,0,"{""1"": 1159}",120,4,5
2026-02-26,P3MS_subj13to4_seed1,P3MS,1,subj13to4,train,2218,1109,88,258.000,267.631199,524,593606,0.15279707,0,0,0,"{""2"": 1109}",120,4,5
2026-02-26,P3MS_subj13to4_seed2,P3MS,2,subj13to4,competition,100,50,150,267.000,270.790000,484,27079,0.15492454,0,0,1,"{""2"": 50}",120,4,5
2026-02-26,P3MS_subj13to4_seed2,P3MS,2,subj13to4,test,1159,1159,87,229.000,246.782571,600,286021,0.18558690,0,0,0,"{""1"": 1159}",120,4,5
2026-02-26,P3MS_subj13to4_seed2,P3MS,2,subj13to4,train,2218,1109,88,259.000,268.091975,515,594628,0.15274455,0,0,0,"{""2"": 1109}",120,4,5
2026-02-26,P3MS_subj13to4_seed3,P3MS,3,subj13to4,competition,100,50,96,261.500,268.180000,484,26818,0.14705608,0,0,0,"{""2"": 50}",120,4,5
2026-02-26,P3MS_subj13to4_seed3,P3MS,3,subj13to4,test,1159,1159,87,229.000,246.607420,600,285818,0.18558169,0,0,0,"{""1"": 1159}",120,4,5
2026-02-26,P3MS_subj13to4_seed3,P3MS,3,subj13to4,train,2218,1109,90,260.000,267.481064,532,593273,0.15302102,0,0,0,"{""2"": 1109}",120,4,5
2026-02-26,P3MS_subj23to4_seed0,P3MS,0,subj23to4,competition,100,50,95,239.000,249.510000,460,24951,0.16161548,0,0,1,"{""2"": 50}",120,4,5
2026-02-26,P3MS_subj23to4_seed0,P3MS,0,subj23to4,test,1159,1159,87,229.000,246.782571,600,286021,0.18558690,0,0,0,"{""1"": 1159}",120,4,5
2026-02-26,P3MS_subj23to4_seed0,P3MS,0,subj23to4,train,2218,1109,88,244.000,249.667268,511,553762,0.15588595,0,0,0,"{""2"": 1109}",120,4,5
2026-02-26,P3MS_subj23to4_seed1,P3MS,1,subj23to4,competition,100,50,127,240.000,245.530000,446,24553,0.15934161,0,0,0,"{""2"": 50}",120,4,5
2026-02-26,P3MS_subj23to4_seed1,P3MS,1,subj23to4,test,1159,1159,87,229.000,246.782571,600,286021,0.18558690,0,0,0,"{""1"": 1159}",120,4,5
2026-02-26,P3MS_subj23to4_seed1,P3MS,1,subj23to4,train,2218,1109,88,243.000,248.653291,524,551513,0.15682551,0,0,0,"{""2"": 1109}",120,4,5
2026-02-26,P3MS_subj23to4_seed2,P3MS,2,subj23to4,competition,100,50,110,246.500,250.460000,484,25046,0.15784505,0,0,0,"{""2"": 50}",120,4,5
2026-02-26,P3MS_subj23to4_seed2,P3MS,2,subj23to4,test,1159,1159,87,229.000,246.782571,600,286021,0.18558690,0,0,0,"{""1"": 1159}",120,4,5
2026-02-26,P3MS_subj23to4_seed2,P3MS,2,subj23to4,train,2218,1109,88,244.000,249.363390,515,553088,0.15641138,0,0,0,"{""2"": 1109}",120,4,5
2026-02-26,P3MS_subj23to4_seed3,P3MS,3,subj23to4,competition,100,50,96,236.500,248.310000,484,24831,0.15158666,0,0,0,"{""2"": 50}",120,4,5
2026-02-26,P3MS_subj23to4_seed3,P3MS,3,subj23to4,test,1159,1159,87,229.000,246.607420,600,285818,0.18558169,0,0,0,"{""1"": 1159}",120,4,5
2026-02-26,P3MS_subj23to4_seed3,P3MS,3,subj23to4,train,2218,1109,90,243.000,248.821461,532,551886,0.15687627,0,0,0,"{""2"": 1109}",120,4,5
