snapshot_date,split_id,protocol,seed,subject,partition,ch,mean_contact,rank_mean_contact,dead_flag
2026-02-26,P3_subj1to4_seed0,P3,0,subj1to4,competition,40,0.00328971,109,0
2026-02-26,P3_subj1to4_seed0,P3,0,subj1to4,competition,41,0.05848381,76,0
2026-02-26,P3_subj1to4_seed0,P3,0,subj1to4,competition,42,0.22399298,49,0
2026-02-26,P3_subj1to4_seed0,P3,0,subj1to4,competition,43,0.32209957,35,0
2026-02-26,P3_subj1to4_seed0,P3,0,subj1to4,competition,44,0.00175451,113,0
2026-02-26,P3_subj1to4_seed0,P3,0,subj1to4,competition,45,0.00109657,117,0
2026-02-26,P3_subj1to4_seed0,P3,0,subj1to4,competition,46,0.01140434,99,0
2026-02-26,P3_subj1to4_seed0,P3,0,subj1to4,competition,47,0.04788362,79,0
2026-02-26,P3_subj1to4_seed0,P3,0,subj1to4,competition,48,0.00197383,112,0
2026-02-26,P3_subj1to4_seed0,P3,0,subj1to4,competition,49,0.01286644,95,0
2026-02-26,P3_subj1to4_seed0,P3,0,subj1to4,competition,5,0.00628701,106,0
2026-02-26,P3_subj1to4_seed0,P3,0,subj1to4,competition,50,0.37780540,30,0
2026-02-26,P3_subj1to4_seed0,P3,0,subj1to4,competition,51,0.08714087,69,0
2026-02-26,P3_subj1to4_seed0,P3,0,subj1to4,competition,52,0.14847577,56,0
2026-02-26,P3_subj1to4_seed0,P3,0,subj1to4,competition,53,0.29388113,40,0
2026-02-26,P3_subj1to4_seed0,P3,0,subj1to4,competition,54,0.37473500,31,0
2026-02-26,P3_subj1to4_seed0,P3,0,subj1to4,competition,55,0.46706631,21,0
2026-02-26,P3_subj1to4_seed0,P3,0,subj1to4,competition,56,0.00000000,120,1
2026-02-26,P3_subj1to4_seed0,P3,0,subj1to4,competition,57,0.32663206,34,0
2026-02-26,P3_subj1to4_seed0,P3,0,subj1to4,competition,58,0.00000000,121,1
2026-02-26,P3_subj1to4_seed0,P3,0,subj1to4,competition,59,0.30981797,38,0
2026-02-26,P3_subj1to4_seed0,P3,0,subj1to4,competition,6,0.05863002,75,0
2026-02-26,P3_subj1to4_seed0,P3,0,subj1to4,competition,60,0.43226844,25,0
2026-02-26,P3_subj1to4_seed0,P3,0,subj1to4,competition,61,0.49221434,18,0
2026-02-26,P3_subj1to4_seed0,P3,0,subj1to4,competition,62,0.47262227,20,0
2026-02-26,P3_subj1to4_seed0,P3,0,subj1to4,competition,63,0.37831713,29,0
2026-02-26,P3_subj1to4_seed0,P3,0,subj1to4,competition,64,0.00051173,119,0
2026-02-26,P3_subj1to4_seed0,P3,0,subj1to4,competition,65,0.33182250,33,0
2026-02-26,P3_subj1to4_seed0,P3,0,subj1to4,competition,66,0.45924410,22,0
2026-02-26,P3_subj1to4_seed0,P3,0,subj1to4,competition,67,0.52481907,14,0
2026-02-26,P3_subj1to4_seed0,P3,0,subj1to4,competition,68,0.60552672,0,0
2026-02-26,P3_subj1to4_seed0,P3,0,subj1to4,competition,69,0.50456905,15,0
2026-02-26,P3_subj1to4_seed0,P3,0,subj1to4,competition,7,0.04101177,83,0
2026-02-26,P3_subj1to4_seed0,P3,0,subj1to4,competition,70,0.40448863,28,0
2026-02-26,P3_subj1to4_seed0,P3,0,subj1to4,competition,71,0.28211127,41,0
2026-02-26,P3_subj1to4_seed0,P3,0,subj1to4,competition,72,0.04349733,81,0
2026-02-26,P3_subj1to4_seed0,P3,0,subj1to4,competition,73,0.24643614,47,0
2026-02-26,P3_subj1to4_seed0,P3,0,subj1to4,competition,74,0.36457343,32,0
2026-02-26,P3_subj1to4_seed0,P3,0,subj1to4,competition,75,0.49594269,17,0
2026-02-26,P3_subj1to4_seed0,P3,0,subj1to4,competition,76,0.56619636,8,0
2026-02-26,P3_subj1to4_seed0,P3,0,subj1to4,competition,77,0.55259887,11,0
2026-02-26,P3_subj1to4_seed0,P3,0,subj1to4,competition,78,0.56341838,9,0
2026-02-26,P3_subj1to4_seed0,P3,0,subj1to4,competition,79,0.53841655,13,0
2026-02-26,P3_subj1to4_seed0,P3,0,subj1to4,competition,8,0.03121573,87,0
2026-02-26,P3_subj1to4_seed0,P3,0,subj1to4,competition,80,0.45332261,23,0
2026-02-26,P3_subj1to4_seed0,P3,0,subj1to4,competition,81,0.30652825,39,0
