target,source_a,source_b,p3ms_mean_cer,single_source_mean_cer,delta_cer,corr_srcA_tgt,corr_srcB_tgt,mean_src_tgt_corr,overall_mean_contact_target
1,2,3,0.47351393629124006,0.6377784376981375,-0.1642645014068974,0.9239432498031722,0.9041069585749272,0.9140251041890497,0.18755505630678368
2,1,3,0.5203356086461889,0.5945486233517864,-0.07421301470559749,0.9239432498031723,0.9647052933097591,0.9443242715564657,0.2028681150241583
3,1,2,0.8380617178612059,0.840301478953356,-0.002239761092150183,0.9041069585749273,0.964705293309759,0.9344061259423431,0.12211184356306658
