candidate,n_compared,mean_delta_cer,std_delta_cer,wins,losses,ties
causal_tcn,8,0.04659123155505106,0.07695900292334688,2,6,0
mini_transformer,8,0.01358541430192961,0.062465888552670594,4,4,0
spec0,8,0.03142735527809305,0.02540457847004609,1,7,0
ts2vec,2,-0.012202043132803653,0.01645367652023182,2,0,0
u1024_l5_s2_k16,8,0.013248439273552765,0.07931895253787115,5,3,0
u1024_l5_s2_k32,8,0.014578603859250847,0.05420347384038858,4,4,0
