protocol,split_id,split_npz,size_bytes,sha256
P3,subj2to1_seed2,raw_dataset/protocolSx_split_seed2_subj2to1_ds1.npz,524201372,0b44c4ab6db5037bb9796ec992950445337d37769d74e43d0addbb8d42ed02ea
P3,subj2to3_seed2,raw_dataset/protocolSx_split_seed2_subj2to3_ds1.npz,572939328,51baccfe0b349f343d169442e60bc4a3be89f6f1c0c52d69413d4123c1b6ebd6
P3,subj3to1_seed2,raw_dataset/protocolSx_split_seed2_subj3to1_ds1.npz,617208528,53c3435e3bb18d48519c3f4009bc01cb513389a76d4163f3092d825323415aa5
P3,subj3to2_seed2,raw_dataset/protocolSx_split_seed2_subj3to2_ds1.npz,574189252,dcacc9c7037ac0a8efc65ac59d1ea2419af3555f64cdd8e3b9287f173c266edd
P3,subj1to2_seed3,raw_dataset/protocolSx_split_seed3_subj1to2_ds1.npz,524141845,1a4e74826953c708f122131a4d173d56cbf3f3d0503dcd36a165b7c7b02739d1
P3,subj1to3_seed3,raw_dataset/protocolSx_split_seed3_subj1to3_ds1.npz,616590507,4813dd448664aa4242bfca3af8ebb4841dd030b2005c7eaadae83ae65db6ea7d
P3,subj2to1_seed3,raw_dataset/protocolSx_split_seed3_subj2to1_ds1.npz,523434563,4d58d6848592feb143ec906084b747e4790efb9367a8643f991d0981315da8e6
P3,subj2to3_seed3,raw_dataset/protocolSx_split_seed3_subj2to3_ds1.npz,573484922,b472fb7f2179a8b0137ea1ca9e20b62b7c63e0b3ee96bb487ddbb8d31f25ab8f
P3,subj3to1_seed3,raw_dataset/protocolSx_split_seed3_subj3to1_ds1.npz,616360369,f7b7c2a752f268b1db178b216b8a3df87bdc2a10bfd3cbd4a28a857bf56721c2
P3,subj3to2_seed3,raw_dataset/protocolSx_split_seed3_subj3to2_ds1.npz,573715078,a828f1b5e9af2b68d6afc06dc2b466700364a752eb2ee8d660a6fdbbdfb2c110
P3MS,subj12to3_seed0,raw_dataset/protocolSxms_split_seed0_subj12to3_ds1.npz,856235819,1be6862c5e10e579bb0ae30391d47ad26f501378a7b989681d6a6a7ecbffebf7
P3MS,subj13to2_seed0,raw_dataset/protocolSxms_split_seed0_subj13to2_ds1.npz,855715010,e6a17933efc109ee94de7f350a7bdc2f71f8648d6f6190331747f87380818cc1
P3MS,subj23to1_seed0,raw_dataset/protocolSxms_split_seed0_subj23to1_ds1.npz,856814151,4f1430dd2f260d82f3fee477ddf1fdaf2af46f6f4d62ae107d5d13883194c696
P3MS,subj12to3_seed1,raw_dataset/protocolSxms_split_seed1_subj12to3_ds1.npz,856748674,be6140c3b1c1b30ccf5c35495ae42d0c70369c36b988b45ec43c919dd2cd66e2
P3MS,subj13to2_seed1,raw_dataset/protocolSxms_split_seed1_subj13to2_ds1.npz,857407358,746251be7a780396a55a7293e45d3cdbce89aba41e65e3ac9f6e57bdf54c00aa
P3MS,subj23to1_seed1,raw_dataset/protocolSxms_split_seed1_subj23to1_ds1.npz,856738727,a98b134aecc6e987a28e5e8d5107a31db2a877291f81043bda4b1d78825cc5e5
P3MS,subj12to3_seed2,raw_dataset/protocolSxms_split_seed2_subj12to3_ds1.npz,857503600,33ad8c08f09e258d83871ac114d3917978359b7be3fffe48e7801863f72a0976
P3MS,subj13to2_seed2,raw_dataset/protocolSxms_split_seed2_subj13to2_ds1.npz,856245703,675e50b2800ca312f3ccbd6903d097f15998a807a5d21313f69437d4f7dc97b9
P3MS,subj23to1_seed2,raw_dataset/protocolSxms_split_seed2_subj23to1_ds1.npz,857029408,541146d5d666f4571874f02f165897ed91a3ad462e012377c72c9da705c632ac
P3MS,subj12to3_seed3,raw_dataset/protocolSxms_split_seed3_subj12to3_ds1.npz,856429253,34036f51636791a3f4e1a4e0ea4a55fe81f3fb1243c106249ddef3b553be7dae
P3MS,subj13to2_seed3,raw_dataset/protocolSxms_split_seed3_subj13to2_ds1.npz,857350807,fa2d9659674240ca9c214cc89e4a11eb2469044d06b8dc38f6bd4871504e0101
P3MS,subj23to1_seed3,raw_dataset/protocolSxms_split_seed3_subj23to1_ds1.npz,856659381,a35789034dd6c7395100137fdfd1cc230847c1ca13debb6f9794256fdd6e733c
P1,subj1_seed0,raw_dataset/train_test_competition_split_seed0_subj1_ds1.npz,566410495,74d84150970fe8f8d10da5ea7801cd3ab9c30daebfb52028d28e3f6e662329a8
P1,subj2_seed0,raw_dataset/train_test_competition_split_seed0_subj2_ds1.npz,480935406,16064cbe1670980cbfa51e1cd4358f51b18909ebd2e3f76ce9d64c3716d7de41
P1,subj3_seed0,raw_dataset/train_test_competition_split_seed0_subj3_ds1.npz,803788142,91c45aa200b48f6eeee850f8f19c0efab9e4d67bc66fdd70fae779f689572e43
P1,subj4_seed0,raw_dataset/train_test_competition_split_seed0_subj4_ds1.npz,285620137,cea2d0e2550c5e14d84dcaff0957d16c218469f143d0094f6322ec3c85cc1e0f
P1,subj1_seed1,raw_dataset/train_test_competition_split_seed1_subj1_ds1.npz,566410495,3dfbbe4b23b2c3238ef72620231ca7a14ee9e2b722db9d94b142c40ecf8f2f12
P1,subj2_seed1,raw_dataset/train_test_competition_split_seed1_subj2_ds1.npz,480935406,829f07bf0fcb92b682c62d6cb5d87d99a151918d06d7336bb69df87b46bcbc3d
P1,subj3_seed1,raw_dataset/train_test_competition_split_seed1_subj3_ds1.npz,803788142,5df976c7168687c52aa4a8b7ea502d215541d038ea6816824619f6930a15ab69
P1,subj4_seed1,raw_dataset/train_test_competition_split_seed1_subj4_ds1.npz,285620137,126ffe7ee533bcd443791ed130f92b05acdab9e9981e153847c26c266a669725
P1,subj1_seed2,raw_dataset/train_test_competition_split_seed2_subj1_ds1.npz,566410495,eb30f72afbdbfb03ed60daa49f279893886c6fd67e9340428786ef991d726bcb
P1,subj2_seed2,raw_dataset/train_test_competition_split_seed2_subj2_ds1.npz,480935406,3448ee679335046948346618348b2e3e9c3c178e99b239b7bebbb0cb953680ce
P1,subj3_seed2,raw_dataset/train_test_competition_split_seed2_subj3_ds1.npz,803788142,21ffcefa59bf8a4906307cca15dea4c55e7f3a9c3eb8cd2041947ce6ab173206
P1,subj4_seed2,raw_dataset/train_test_competition_split_seed2_subj4_ds1.npz,285620137,7d12f07baa512f5f98c454b1ae15144184e61173a16e792f0dcfb658dafdae46
P1,subj1_seed3,raw_dataset/train_test_competition_split_seed3_subj1_ds1.npz,566443339,17dd342c1f71ee2fe09b7c0da08716519031a1423b26fadbd2cffe7ce90bee0f
P1,subj2_seed3,raw_dataset/train_test_competition_split_seed3_subj2_ds1.npz,480935406,cb080b34859967b2b79b76a41cd527c68003a7e86a8b049203b26375109c044d
P1,subj3_seed3,raw_dataset/train_test_competition_split_seed3_subj3_ds1.npz,803788142,c224e70a0ffed1b26fa2961da8a08e13edb493de06b8b2c7a28c9dcfd960947a
P1,subj4_seed3,raw_dataset/train_test_competition_split_seed3_subj4_ds1.npz,285620137,b43e653e92fb516deccc84f719b196f7708d81786fafb413311975224b597489
